The skeleton graph has: Nodes 1045 and 1044 Edges. 
N 0 (152.1829268292683,267.109756097561) 71.51758539562798
N 1 (118.28260869565217,269.9347826086956) 51.722686462480155
N 2 (159.5,271.5) 73.7563556583431
N 3 (170.21969696969697,277.25757575757575) 77.28068326541103
N 4 (112.0,367.0) 0.7071067811865476
N 5 (116.95454545454545,127.86363636363636) 38.22508371205207
N 6 (170.03846153846155,276.7692307692308) 77.46200633882073
N 7 (170.125,277.0) 77.37661549202059
N 8 (307.25,187.0) 27.754504138968148
N 9 (316.0,172.41666666666666) 28.920989110179313
N 10 (317.0,173.4375) 29.94167507421721
N 11 (316.9352517985611,173.54676258992805) 30.04991491275224
N 12 (95.0,131.0) 28.50438562747845
N 13 (297.4072164948454,228.99484536082474) 34.50527938522199
N 14 (313.2358490566038,217.68867924528303) 38.32669519092067
N 15 (314.2361111111111,213.0) 37.267243191889776
N 16 (138.95,223.0) 43.452876774731486
N 17 (136.1875,210.0) 40.69057208064296
N 18 (302.625,185.0) 23.13040477380368
N 19 (304.875,186.0) 25.37992563030869
N 20 (131.5,144.83333333333334) 38.873012632302
N 21 (171.91666666666669,275.0) 75.58498711898928
N 22 (170.86111111111111,276.0) 76.6405198972675
N 23 (32.0,247.0) 0.7071067811865476
N 24 (318.0,171.8125) 28.316914666855922
N 25 (323.0,164.625) 21.13091633129051
N 26 (313.0,166.625) 23.13040477380368
N 27 (314.0,168.875) 25.37992563030869
N 28 (315.0,171.25) 27.754504138968148
N 29 (57.0,241.875) 18.381801462315927
N 30 (93.0,131.23214285714286) 28.27227878061794
N 31 (94.0,131.125) 28.379404944431094
N 32 (311.0,255.0) 8.514693182963201
N 33 (338.5,232.0) 21.005951537600005
N 34 (348.0,163.0) 3.5355339059327378
N 35 (343.0,168.0) 8.514693182963201
N 36 (318.0308641975309,181.21604938271605) 33.47034029282008
N 37 (317.859375,182.0) 33.64434054028441
N 38 (332.5,175.0) 19.00657780874821
N 39 (236.625,349.0) 10.886488184901502
N 40 (235.25,348.0) 12.260199835239229
N 41 (235.25,339.0) 12.260199835239229
N 42 (163.1,339.9) 51.60155036430591
N 43 (188.0,338.78125) 52.72112101959233
N 44 (189.0,339.578125) 51.92428240732485
N 45 (175.5,327.5) 64.0
N 46 (138.3875,221.0) 42.89041450312644
N 47 (138.6625,222.0) 43.165395935285936
N 48 (137.4125,217.0) 41.915482297714284
N 49 (137.6375,218.0) 42.140466374377006
N 50 (138.125,220.0) 42.6279324504485
N 51 (137.875,219.0) 42.377949749840425
N 52 (136.475,212.0) 40.97805052708095
N 53 (136.325,211.0) 40.82806173454722
N 54 (137.2,216.0) 41.702997494184984
N 55 (137.0,215.0) 41.50301193889427
N 56 (136.6375,213.0) 41.1405384778809
N 57 (136.8125,214.0) 41.31552560781479
N 58 (204.0,246.28125) 46.78392193438361
N 59 (315.0,208.0) 36.50342449688796
N 60 (119.5,103.5) 32.0
N 61 (282.0,231.453125) 32.05077529897873
N 62 (131.79166666666669,190.0) 36.29511082011519
N 63 (131.70833333333334,189.0) 36.211785412732375
N 64 (131.88888888888889,191.0) 36.39232384127044
N 65 (132.0,192.0) 36.50342449688796
N 66 (131.63888888888889,188.0) 36.14234760116526
N 67 (132.125,193.0) 36.628412810276124
N 68 (131.58333333333334,187.0) 36.08679737029103
N 69 (132.26388888888889,194.0) 36.76728880723418
N 70 (131.54166666666669,186.0) 36.04513470790628
N 71 (132.41666666666669,195.0) 36.920052515913035
N 72 (131.51388888888889,185.0) 36.01735960479661
N 73 (131.5,184.0) 36.003472054789384
N 74 (160.125,197.0) 15.383127932901033
N 75 (158.375,198.0) 17.132297715134417
N 76 (156.5,199.0) 19.00657780874821
N 77 (133.875,202.0) 38.37825719075842
N 78 (134.13888888888889,203.0) 38.642123836144165
N 79 (134.41666666666669,204.0) 38.919878525561245
N 80 (134.70833333333334,205.0) 39.21152130149731
N 81 (135.01388888888889,206.0) 39.51705220690754
N 82 (135.33333333333334,207.0) 39.83647128504788
N 83 (135.66666666666666,208.0) 40.169778579313956
N 84 (136.08823529411765,209.2058823529412) 40.58930092377754
N 85 (136.01388888888889,209.0) 40.51697413308692
N 86 (172.95833333333334,274.0) 74.54334356228223
N 87 (173.98611111111111,273.0) 73.51558922818957
N 88 (175.0,272.0) 72.50172411743047
N 89 (176.0,271.0) 71.50174823037545
N 90 (187.0,260.09375) 60.5958128839155
N 91 (188.0,259.15625) 59.6583453010767
N 92 (191.0,256.4375) 56.93969534735851
N 93 (184.0,263.0) 63.50196847342608
N 94 (194.0,253.859375) 54.36167446271891
N 95 (192.0,255.5625) 56.06472961006768
N 96 (193.0,254.703125) 55.20538931812387
N 97 (133.625,201.0) 38.12827854755575
N 98 (133.38888888888889,200.0) 37.89218786550293
N 99 (132.95833333333331,198.0) 37.461670225860324
N 100 (133.16666666666666,199.0) 37.66998510456006
N 101 (60.0,244.25) 20.756023222187817
N 102 (61.0,245.125) 21.630779574485985
N 103 (62.0,246.04166666666666) 22.547211271266136
N 104 (320.0,168.75) 25.254950009849555
N 105 (319.0,170.25) 26.754672489118605
N 106 (321.0,167.3125) 23.817748765364033
N 107 (322.0,165.9375) 22.44307033919379
N 108 (324.0,163.375) 19.881288313386534
N 109 (325.0,162.1875) 18.694187766522514
N 110 (327.0,160.0) 16.507574019219177
N 111 (326.0,161.0625) 17.569615996088245
N 112 (90.0,133.0) 26.504716561397142
N 113 (89.0,134.0) 25.5049014897137
N 114 (88.0,128.0) 24.50510150968569
N 115 (89.04166666666666,129.0) 25.546560162008323
N 116 (92.0,131.32142857142858) 28.183007074389728
N 117 (91.65384615384616,131.34615384615384) 28.154266495390907
N 118 (91.0,132.0) 27.504545078950134
N 119 (90.125,130.0) 26.62969442182918
N 120 (91.25,131.0) 27.754504138968148
N 121 (86.0,137.0) 22.5055548698538
N 122 (59.0,243.41666666666666) 19.922941828733798
N 123 (58.0,242.625) 19.13153483126746
N 124 (354.0,221.0) 5.522680508593631
N 125 (349.875,225.0) 9.637978263100617
N 126 (302.0,240.375) 23.13040477380368
N 127 (315.4166666666667,203.0) 36.08679737029102
N 128 (315.5,200.0) 36.003472054789384
N 129 (313.8333333333333,215.0) 37.669985104560055
N 130 (314.0416666666667,214.0) 37.461670225860324
N 131 (353.0,222.0) 6.519202405202649
N 132 (345.75,228.0) 13.759087905817013
N 133 (344.125,229.0) 15.383127932901033
N 134 (340.5,231.0) 19.00657780874821
N 135 (342.375,230.0) 17.132297715134417
N 136 (351.0,160.0) 0.7071067811865476
N 137 (346.0,165.0) 5.522680508593631
N 138 (347.0,164.0) 4.527692569068709
N 139 (341.875,169.0) 9.637978263100617
N 140 (340.625,170.0) 10.886488184901502
N 141 (337.75,172.0) 13.759087905817013
N 142 (339.25,171.0) 12.260199835239229
N 143 (317.625,183.0) 33.878689835942595
N 144 (317.375,184.0) 34.12866280708929
N 145 (316.828125,186.0) 34.675480040161304
N 146 (317.109375,185.0) 34.394259519440524
N 147 (321.25,180.0) 30.254131949206542
N 148 (318.625,181.0) 32.8788020615107
N 149 (336.125,173.0) 15.383127932901033
N 150 (334.375,174.0) 17.132297715134417
N 151 (330.5,176.0) 21.005951537600005
N 152 (328.375,177.0) 23.13040477380368
N 153 (323.75,179.0) 27.754504138968148
N 154 (326.125,178.0) 25.37992563030869
N 155 (66.0,106.0) 2.5495097567963922
N 156 (87.0,127.0) 23.50531854708632
N 157 (88.0,319.0) 0.7071067811865476
N 158 (95.0,312.0) 7.516648189186454
N 159 (119.0,360.0) 7.516648189186454
N 160 (108.0,323.0) 4.527692569068709
N 161 (109.0,322.0) 5.522680508593631
N 162 (96.0,311.0) 8.514693182963201
N 163 (97.0,309.875) 9.637978263100617
N 164 (116.0,363.0) 4.527692569068709
N 165 (240.0,352.0) 7.516648189186454
N 166 (239.0,351.0) 8.514693182963201
N 167 (237.875,350.0) 9.637978263100617
N 168 (247.0,359.0) 0.7071067811865476
N 169 (246.0,358.0) 1.5811388300841898
N 170 (208.0,360.0) 31.50396800404673
N 171 (204.0,355.8125) 35.691002455100644
N 172 (205.0,356.90625) 34.59736318077579
N 173 (199.0,349.875) 41.62800289468617
N 174 (196.0,345.9375) 45.565243401632344
N 175 (192.0,341.875) 49.62751882776329
N 176 (193.0,342.609375) 48.89318166054061
N 177 (227.5,343.5) 20.0
N 178 (209.0,361.0) 30.504098085339287
N 179 (243.0,355.0) 4.527692569068709
N 180 (289.0,230.796875) 32.70694704134926
N 181 (120.0,391.0) 0.7071067811865476
N 182 (121.0,390.0) 1.5811388300841898
N 183 (95.0,267.8181818181818) 44.32100224125602
N 184 (56.0,241.16666666666666) 17.673740722074395
N 185 (55.0,240.5) 17.00735135169495
N 186 (78.0,145.0) 14.508618128546908
N 187 (218.0,238.296875) 38.80009677520953
N 188 (206.0,244.953125) 45.45587500274992
N 189 (205.0,245.609375) 46.112085865753514
N 190 (207.0,244.3125) 44.8152893134698
N 191 (208.0,243.6875) 44.19032876376912
N 192 (210.0,242.484375) 42.98728293508005
N 193 (209.0,243.078125) 43.58099331722058
N 194 (315.2083333333333,206.0) 36.29511082011519
N 195 (315.1111111111111,207.0) 36.39232384127042
N 196 (314.4166666666667,212.0) 37.086703966665866
N 197 (314.5833333333333,211.0) 36.920052515913035
N 198 (314.875,209.0) 36.628412810276124
N 199 (314.7361111111111,210.0) 36.76728880723416
N 200 (315.546875,190.0) 35.95660158115092
N 201 (315.890625,189.0) 35.61288513853694
N 202 (316.53125,187.0) 34.972324437510586
N 203 (316.21875,188.0) 35.284792780495394
N 204 (207.0,159.0) 0.7071067811865476
N 205 (217.0,238.765625) 39.268808317042485
N 206 (119.5,104.0) 32.00390601161052
N 207 (119.265625,109.0) 32.23825261456683
N 208 (119.0625,111.0) 32.441353335673284
N 209 (119.171875,110.0) 32.33199137101866
N 210 (161.75,196.0) 13.759087905817013
N 211 (163.25,195.0) 12.260199835239229
N 212 (164.625,194.0) 10.886488184901502
N 213 (132.76388888888889,197.0) 37.2672431918898
N 214 (132.58333333333331,196.0) 37.086703966665866
N 215 (177.0,270.0) 70.50177302735017
N 216 (189.0,258.234375) 58.736503187035446
N 217 (190.0,257.328125) 57.83028653755422
N 218 (186.0,261.046875) 61.548905938819296
N 219 (185.0,262.015625) 62.51762446814998
N 220 (183.0,264.0) 64.50193795538239
N 221 (196.0,252.21875) 52.72112101959233
N 222 (195.0,253.03125) 53.53358503371972
N 223 (228.0,234.46875) 34.972324437510586
N 224 (227.0,234.78125) 35.284792780495394
N 225 (225.0,235.453125) 35.95660158115092
N 226 (226.0,235.109375) 35.61288513853694
N 227 (231.0,233.625) 34.12866280708929
N 228 (233.0,233.140625) 33.64434054028441
N 229 (232.0,233.375) 33.878689835942595
N 230 (238.0,232.203125) 32.70694704134926
N 231 (239.0,232.0625) 32.56633854534464
N 232 (240.0,231.9375) 32.441353335673284
N 233 (237.0,232.359375) 32.863178869224214
N 234 (236.0,232.53125) 33.03503407842196
N 235 (234.0,232.921875) 33.42561485620908
N 236 (235.0,232.71875) 33.22251272198567
N 237 (246.0,231.515625) 32.01952910554159
N 238 (245.0,231.546875) 32.05077529897873
N 239 (243.0,231.65625) 32.160137034261844
N 240 (244.0,231.59375) 32.097644603031235
N 241 (250.0,231.5) 32.00390601161052
N 242 (249.0,231.5) 32.00390601161052
N 243 (33.0,246.0) 1.5811388300841898
N 244 (63.0,247.0) 23.50531854708632
N 245 (64.0,248.0) 24.50510150968569
N 246 (73.0,257.0) 33.50373113550191
N 247 (333.0,154.0) 10.51189802081432
N 248 (85.0,138.0) 21.50581316760657
N 249 (88.0,135.0) 24.50510150968569
N 250 (87.0,136.0) 23.50531854708632
N 251 (131.5,162.0) 36.003472054789384
N 252 (131.5,163.0) 36.003472054789384
